  397355504,14.980, 0.055
  125915722,14.063, 0.042
  436575135,16.270, 0.200
  436575369,15.877, 0.107
  385475808,15.140, 0.029
  436581639,17.690, 0.200
  436584697,13.089, 0.093
  436582827,17.310, 0.200
  436589427,16.740, 0.200
  238413980, 9.766, 0.008
   59840611,12.276, 0.033
  436617161,17.220, 0.200
   18542733,18.440, 0.200
   59958693,14.755, 0.077
   18584677,15.418, 0.043
  436640602,15.725, 0.087
  436639456,16.050, 0.200
   18642736,13.897, 0.060
  436642805,16.480, 0.200
   60009433,15.830, 0.200
   18647501,14.360, 0.049
  436659586,11.118, 0.140
  436664231,11.213, 0.046
   68648307,17.070, 0.200
   60478560,17.520, 0.200
   68653291,16.670, 0.200
   60511067,14.968, 0.045
  432613905,15.892, 0.031
   68812391,15.839, 0.113
  432699513,17.360, 0.200
  389121763,16.900, 0.200
  303593764,18.050, 0.200
  293892413,16.030, 0.200
  387722592,15.670, 0.200
  175264909,11.515, 0.034
   21223949,,
  184893285,12.165, 0.035
  175261870,13.940, 0.160
  175288891,,
  197250486,,
  175239511,10.110, 0.034
  175262081,10.268, 0.012
  175262180, 9.681, 0.005
  175262171, 9.977, 0.006
  175262077, 9.939, 0.012
  175265818,10.714, 0.023
  307733361,10.651, 0.012
  175261968, 9.820, 0.023
  175239508,10.273, 0.034
  175264659,10.317, 0.034
  175264390,11.257, 0.016
  175264517,11.584, 0.057
  175264495,10.996, 0.023
  175265782,10.711, 0.012
  175265769,11.496, 0.046
  175194847,10.570, 0.011
  307678344, 9.651, 0.005
  175261957,10.609, 0.023
  307678285,10.646, 0.011
  175264490,12.046, 0.057
  175265687, 9.826, 0.023
  175264628,11.297, 0.057
  175239919,11.784, 0.057
  175240043,10.636, 0.034
  175265668,10.074, 0.023
  175234372,10.862, 0.012
  184893020, 9.940, 0.005
  175233442,10.398, 0.008
  175240196, 9.222, 0.003
  307733224,11.790, 0.032
  175290433, 9.629, 0.004
  175262112,,
  175234189,15.599, 0.137
  195193477,11.426, 0.046
  175233735,10.431, 0.012
  175264486,21.004, 1.133
  175262222,16.349, 1.133
  175239547,15.589, 0.423
  175240088,10.205, 0.012
  184892072, 9.668, 0.004
  195193336,11.108, 0.024
  175262151,17.435, 0.047
  175290574,10.445, 0.008
  175290894,10.057, 0.006
  175264751,10.548, 0.012
  175265836,,
  175262288,15.463, 0.217
  175265747,10.936, 0.023
  175233976,,
  175239454,,
  175262060,16.055, 0.137
  307733381,,
  175240425,10.678, 0.010
  175291774,10.832, 0.010
  175264487,,
  307678565,16.128, 0.046
  175194958,15.989, 0.206
  175262202,12.789, 0.114
  175290581,,
  175265707,15.871, 0.275
  307733666,10.944, 0.012
  184892083, 9.864, 0.005
  175239582,15.163, 0.126
  175194931,,
  175234252,16.769, 1.133
  307733166,11.398, 0.069
  175194811,17.950, 0.200
  307678222,11.773, 0.034
  175290789,,
  175234444,16.177, 0.183
  175234763,11.644, 0.024
  307678180, 9.873, 0.005
  175239741,15.048, 0.149
  307678474,17.566, 0.048
  175262109,12.643, 0.103
  307733584,,
  175265852,14.228, 0.092
  307678504,11.543, 0.026
  175264700,15.388, 0.149
  184873527,,
  195192227,11.326, 0.017
  175290460,,
  307733505,15.821, 0.206
  175265983,12.353, 0.286
  175261904,,
  175290904,11.338, 0.018
  195191989,16.261, 0.126
  175264362,14.939, 0.114
  175290807,,
  175234002,16.499, 1.133
  175233672,,
  175239137,17.834, 0.050
  175290735,16.251, 0.137
  307678306,18.700, 0.200
  175265714,13.460, 0.092
  184892216,11.553, 0.022
  175264309,14.122, 0.160
  184893138,,
  195193187,15.898, 0.069
  175233783,13.629, 0.137
  175291796,,
  175290662,11.663, 0.034
  175264424,17.824, 0.047
  307678296,,
  175233752,11.491, 0.034
  175239552,17.640, 0.047
  175239985,19.340, 0.200
  195192006,15.389, 0.149
  175233791,16.806, 1.133
  175231602,17.450, 0.200
  175234504,14.174, 0.194
  307678756,,
